dataset,horizon,model,feature_mode,run_tag,MSE,MAE,MAPE,R2,MSE_target,MAE_target,MAPE_target,R2_target,best_val_loss,best_val_r2,trained_epochs,seed,sample_limit,train_samples,val_samples,test_samples,input_size,model_params,train_time_seconds,device,use_validation_best
ETTm1,24,autoformer,multivariate,feature_mode_full_seed42,0.3030235171318054,0.3436353802680969,187.2943878173828,0.7621031999588013,0.017965106293559074,0.09612800180912018,10.586088180541992,0.8850270509719849,0.2293177483810319,0.7567875266075135,17,42,0,34441,11401,23481,7,89271,108.52141308784485,cuda,True
ETTm1,24,autoformer,univariate,feature_mode_full_seed42,0.013668390922248363,0.0808957889676094,9.204164505004883,0.9125251173973083,0.013668390922248363,0.0808957889676094,9.204164505004883,0.9125251173973083,0.02293480653445133,0.1082004917992486,39,42,0,34441,11401,23481,1,88497,269.85928893089294,cuda,True
ETTm1,24,informer,multivariate,feature_mode_full_seed42,0.4507581889629364,0.4437171220779419,198.10511779785156,0.6461200714111328,0.1349743902683258,0.2739854156970978,28.137773513793945,0.1361919641494751,0.3859986709223853,0.6849575671884749,14,42,0,34441,11401,23481,7,182175,82.74120473861694,cuda,True
ETTm1,24,informer,univariate,feature_mode_full_seed42,0.01578361541032791,0.08918870240449905,9.752219200134277,0.8989881277084351,0.01578361541032791,0.08918870240449905,9.752219200134277,0.8989881277084351,0.024522316670562656,0.010699902640448676,25,42,0,34441,11401,23481,1,181401,156.28139424324036,cuda,True
ETTm1,24,lstm,multivariate,feature_mode_full_seed42,0.543135941028595,0.4590034484863281,194.7654266357422,0.5735964775085449,0.05795351415872574,0.18696148693561554,19.54816436767578,0.6291095614433289,0.6065328126980198,0.5399245480696361,11,42,0,34441,11401,23481,7,380328,48.326783895492554,cuda,True
ETTm1,24,lstm,univariate,feature_mode_full_seed42,0.015262206085026264,0.08828406035900116,10.788247108459473,0.9023250341415405,0.015262206085026264,0.08828406035900116,10.788247108459473,0.9023250341415405,0.028375964552267558,-0.10127375390794542,19,42,0,34441,11401,23481,1,337176,99.33841896057129,cuda,True
ETTm1,24,patchtst,multivariate,feature_mode_full_seed42,0.31295499205589294,0.34355419874191284,175.72166442871094,0.7543061971664429,0.017538471147418022,0.0935378447175026,9.94556999206543,0.887757420539856,0.2760663901766141,0.7306183616320292,15,42,0,34441,11401,23481,7,77488,61.43022680282593,cuda,True
ETTm1,24,patchtst,univariate,feature_mode_full_seed42,0.014419079758226871,0.08472505956888199,9.584202766418457,0.9077208638191223,0.014419079758226871,0.08472505956888199,9.584202766418457,0.9077208638191223,0.023579603252518507,0.06375720302263896,18,42,0,34441,11401,23481,1,77488,79.1431953907013,cuda,True
ETTm1,24,transformer,multivariate,feature_mode_full_seed42,0.5298834443092346,0.4633481204509735,196.96824645996094,0.5840007066726685,0.04967152327299118,0.1709957718849182,18.099790573120117,0.6821125745773315,0.3746119367579619,0.692430266406801,12,42,0,34441,11401,23481,7,238376,54.53825116157532,cuda,True
ETTm1,24,transformer,univariate,feature_mode_full_seed42,0.015093945898115635,0.08794346451759338,9.709695816040039,0.9034018516540527,0.015093945898115635,0.08794346451759338,9.709695816040039,0.9034018516540527,0.024288785395522913,0.00011782911088731554,18,42,0,34441,11401,23481,1,219032,88.0604338645935,cuda,True
ETTm1,48,autoformer,multivariate,feature_mode_full_seed42,0.44522717595100403,0.43821337819099426,214.84019470214844,0.6503487825393677,0.036229588091373444,0.14238010346889496,16.512765884399414,0.7682555317878723,0.3453129195095448,0.6422851936201032,14,42,0,34417,11377,23457,7,93927,89.00971531867981,cuda,True
ETTm1,48,autoformer,univariate,feature_mode_full_seed42,0.022026363760232925,0.10507012158632278,12.17453670501709,0.8591071963310242,0.022026363760232925,0.10507012158632278,12.17453670501709,0.8591071963310242,0.03582619435645724,-0.23808741636490555,26,42,0,34417,11377,23457,1,93153,179.09124946594238,cuda,True
ETTm1,48,informer,multivariate,feature_mode_full_seed42,0.7906618714332581,0.6069267988204956,230.90872192382812,0.37906789779663086,0.10601930320262909,0.24183623492717743,24.62578773498535,0.32184189558029175,0.516322715228863,0.5682143649358428,13,42,0,34417,11377,23457,7,184503,72.10898447036743,cuda,True
ETTm1,48,informer,univariate,feature_mode_full_seed42,0.027042623609304428,0.11759911477565765,12.502280235290527,0.8270204067230225,0.027042623609304428,0.11759911477565765,12.502280235290527,0.8270204067230225,0.03694703398021252,-0.30147068420152984,22,42,0,34417,11377,23457,1,183729,125.81987738609314,cuda,True
ETTm1,48,lstm,multivariate,feature_mode_full_seed42,0.8299372792243958,0.6093647480010986,211.07730102539062,0.34822362661361694,0.11152108013629913,0.26950693130493164,26.372453689575195,0.28664952516555786,0.7665922961543116,0.40091379974665264,11,42,0,34417,11377,23457,7,423504,42.4786434173584,cuda,True
ETTm1,48,lstm,univariate,feature_mode_full_seed42,0.03798732906579971,0.14533215761184692,14.665142059326172,0.7570120692253113,0.03798732906579971,0.14533215761184692,14.665142059326172,0.7570120692253113,0.03756028300758158,-0.3146291555983297,41,42,0,34417,11377,23457,1,343344,181.99695110321045,cuda,True
ETTm1,48,patchtst,multivariate,feature_mode_full_seed42,0.42409002780914307,0.4116876423358917,200.6844940185547,0.6669484972953796,0.03657810762524605,0.14114660024642944,14.040799140930176,0.7660261988639832,0.38983404301525504,0.6340944445535038,15,42,0,34417,11377,23457,7,85216,61.90736746788025,cuda,True
ETTm1,48,patchtst,univariate,feature_mode_full_seed42,0.03124992735683918,0.12874312698841095,13.5717134475708,0.8001081943511963,0.03124992735683918,0.12874312698841095,13.5717134475708,0.8001081943511963,0.03770065322005598,-0.353321678183052,18,42,0,34417,11377,23457,1,85216,77.91003799438477,cuda,True
ETTm1,48,transformer,multivariate,feature_mode_full_seed42,0.6876024603843689,0.5340924859046936,206.85443115234375,0.46000373363494873,0.12330274283885956,0.2843503952026367,28.222185134887695,0.2112874984741211,0.5225472800182492,0.5717348268862521,11,42,0,34417,11377,23457,7,260048,44.6531126499176,cuda,True
ETTm1,48,transformer,univariate,feature_mode_full_seed42,0.030340315774083138,0.12602359056472778,13.370434761047363,0.8059265613555908,0.030340315774083138,0.12602359056472778,13.370434761047363,0.8059265613555908,0.037907448126358934,-0.3600500172443604,13,42,0,34417,11377,23457,1,222128,56.00747203826904,cuda,True
ETTm1,96,autoformer,multivariate,feature_mode_full_seed42,0.48669368028640747,0.46491074562072754,226.333740234375,0.6169219613075256,0.050453800708055496,0.17083513736724854,19.607275009155273,0.6774517893791199,0.4081313704674164,0.5911771226465032,13,42,0,34369,11329,23409,7,103239,82.71647644042969,cuda,True
